
	J.1.1.M Beatmungsfälle >24 h (ohne Neugeborene), Mortalität // Cas de respiration artificielle >24 h (à l’exclusion des nouveau­nés), mortalité // Casi totali di ventilazione meccanica >24 h (neonati esclusi), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	15	2	83	308	0.2694805	
	2009	16	1	160	548	0.2919708	
	2009	16	2	101	361	0.2797784	
	2009	17	1	113	316	0.3575949	
	2009	17	2	68	219	0.3105023	
	2009	18	1	51	124	0.4112903	
	2009	18	2	36	95	0.3789474	
	2009	19	1	6	10	0.6	
	2009	19	2	9	12	0.75	
	2009	20	1	1	1	1	
	2009	20	2	1	2	0.5	
	2010	1	1	5	173	0.02890173	
	2010	1	2	11	140	0.07857143	
	2010	2	1	4	36	0.1111111	
	2010	2	2	4	30	0.1333333	
	2010	3	1	3	32	0.09375	
	2010	3	2	2	26	0.07692308	
	2010	4	1	13	87	0.1494253	
	2010	4	2	5	45	0.1111111	
	2010	5	1	7	79	0.08860759	
	2010	5	2	4	31	0.1290323	
	2010	6	1	4	93	0.04301075	
	2010	6	2	5	59	0.08474576	
	2010	7	1	14	113	0.1238938	
	2010	7	2	14	68	0.2058824	
	2010	8	1	17	161	0.1055901	
	2010	8	2	9	89	0.1011236	
	2010	9	1	36	232	0.1551724	
	2010	9	2	14	114	0.122807	
	2010	10	1	60	328	0.1829268	
	2010	10	2	31	185	0.1675676	
	2010	11	1	68	436	0.1559633	
	2010	11	2	43	237	0.1814346	
	2010	12	1	103	566	0.1819788	
	2010	12	2	43	248	0.1733871	
	2010	13	1	165	759	0.2173913	
	2010	13	2	68	346	0.1965318	
	2010	14	1	202	846	0.2387707	
	2010	14	2	108	428	0.2523364	
	2010	15	1	222	836	0.2655502	
	2010	15	2	136	503	0.2703777	
	2010	16	1	264	823	0.3207776	
	2010	16	2	163	520	0.3134615	
	2010	17	1	217	514	0.422179	
	2010	17	2	156	421	0.3705463	
	2010	18	1	72	161	0.447205	
	2010	18	2	54	148	0.3648649	
	2010	19	1	7	18	0.3888889	
	2010	19	2	10	17	0.5882353	
	2010	20	1	1	2	0.5	
	2010	20	2	2	3	0.6666667	
	2011	1	1	14	247	0.05668016	
	2011	1	2	12	201	0.05970149	
	2011	2	1	4	61	0.06557377	
	2011	2	2	7	44	0.1590909	
	2011	3	1	2	51	0.03921569	
	2011	3	2	3	47	0.06382979	
	2011	4	1	7	111	0.06306306	
	2011	4	2	4	65	0.06153846	
	2011	5	1	12	111	0.1081081	
	2011	5	2	4	53	0.0754717	
	2011	6	1	13	111	0.1171171	
	2011	6	2	10	54	0.1851852	
	2011	7	1	15	121	0.1239669	
	2011	7	2	4	64	0.0625	
	2011	8	1	18	152	0.1184211	
	2011	8	2	10	90	0.1111111	
	2011	9	1	31	249	0.124498	
	2011	9	2	30	140	0.2142857	
	2011	10	1	65	377	0.1724138	
	2011	10	2	41	182	0.2252747	
	2011	11	1	91	491	0.185336	
	2011	11	2	35	217	0.1612903	
	2011	12	1	117	603	0.1940299	
	2011	12	2	60	327	0.1834862	
	2011	13	1	172	795	0.2163522	
	2011	13	2	93	401	0.2319202	
	2011	14	1	206	955	0.2157068	
	2011	14	2	122	450	0.2711111	
	2011	15	1	227	883	0.2570781	
	2011	15	2	157	523	0.3001912	
	2011	16	1	290	883	0.3284258	
	2011	16	2	171	501	0.3413174	
	2011	17	1	207	592	0.3496622	
	2011	17	2	165	452	0.3650442	
	2011	18	1	99	211	0.4691943	
	2011	18	2	75	188	0.3989362	
	2011	19	1	10	28	0.3571429	
	2011	19	2	12	21	0.5714286	
	2011	20	1	2	4	0.5	
	2011	20	2	3	3	1	
	2012	1	1	11	233	0.0472103	
	2012	1	2	10	183	0.05464481	
	2012	2	1	1	43	0.02325581	
	2012	2	2	2	36	0.05555556	
	2012	3	1	5	39	0.1282051	
	2012	3	2	4	36	0.1111111	
	2012	4	1	6	70	0.08571429	
	2012	4	2	5	43	0.1162791	
	2012	5	1	12	103	0.1165049	
	2012	5	2	9	37	0.2432432	
	2012	6	1	11	98	0.1122449	
	2012	6	2	9	58	0.1551724	
	2012	7	1	12	101	0.1188119	
	2012	7	2	8	66	0.1212121	
	2012	8	1	14	139	0.1007194	
	2012	8	2	15	95	0.1578947	
	2012	9	1	21	200	0.105	
	2012	9	2	18	107	0.1682243	
	2012	10	1	54	326	0.1656442	
	2012	10	2	33	208	0.1586538	
	2012	11	1	89	478	0.1861925	
	2012	11	2	40	260	0.1538462	
	2012	12	1	117	644	0.181677	
	2012	12	2	84	317	0.2649842	
	2012	13	1	174	817	0.2129743	
	2012	13	2	112	432	0.2592593	
	2012	14	1	278	1079	0.257646	
	2012	14	2	133	529	0.2514178	
	2012	15	1	285	944	0.3019068	
	2012	15	2	171	571	0.2994746	
	2012	16	1	302	1005	0.3004975	
	2012	16	2	190	604	0.3145695	
	2012	17	1	261	629	0.4149444	
	2012	17	2	191	496	0.3850806	
	2012	18	1	110	236	0.4661017	
	2012	18	2	70	192	0.3645833	
	2012	19	1	33	51	0.6470588	
	2012	19	2	17	39	0.4358974	
	2012	20	1	1	3	0.3333333	
	2012	20	2	4	5	0.8	
	2013	1	1	17	243	0.06995885	
	2013	1	2	9	181	0.04972376	
	2013	2	1	7	51	0.1372549	
	2013	2	2	5	40	0.125	
	2013	3	1	4	43	0.09302326	
	2013	3	2	2	53	0.03773585	
	2013	4	1	9	90	0.1	
	2013	4	2	6	47	0.1276596	
